TIME	Aqua: aOC(O)C(O)[O] + aO2 -> aOC(O)C(=O)O + aHO2	Aqua: aOC(O)C(O)(O)O[O] -> aHO2 + aOC(O)C(=O)O	Gas: O=N(=O)OC1C2OOC1(C)C([O])(O)C(=C2N(=O)=O)O -> CC(C(	Aqua: aOC(O)C(=O)O[O] -> aOC(O)C(=O)O + aHO2 + [aH2O]	Aqua: aO=C([O-])C(O)O[O] -> aHO2 + aOC(O)C(=O)[O-] + [aH	Aqua: aO=CC(O)[O] + aO2 -> aO=C(O)C=O + aHO2	other sources	Gas: O=C(O)C=O -> HO2 + HO2 + CO	Aqua: aOC(O)C(=O)[O-] + aHO -> aO=C([O-])[C](O)O + aO=C(	Gas: OH + O=C(O)C=O -> CO + HO2	Aqua: aOC(O)C(=O)[O-] + aNO3 -> aO=C([O-])[C](O)O + aO=C	other sinks
36.5	1.07139E-13	5.70296E-14	2.88768E-15	6.14659E-14	9.72299E-14	3.77587E-14	1.18576E-13	-1.95114E-17	-2.24048E-13	-1.26097E-18	-2.24372E-15	-3.15541E-14
36.6389	1.06409E-13	5.66964E-14	2.9167E-15	6.10735E-14	9.32609E-14	3.75072E-14	1.21156E-13	-2.14551E-17	-2.22941E-13	-1.38259E-18	-2.23362E-15	-3.42783E-14
36.8056	3.44387E-15	5.3563E-15	3.8839E-15	2.25308E-15	1.67129E-15	1.12936E-15	2.86556E-14	-6.31322E-14	-6.70452E-15	-2.26941E-14	-1.54066E-16	-1.3564E-14
36.8889	1.30205E-15	4.88267E-15	4.34171E-15	1.13929E-15	1.41267E-15	4.08148E-16	2.65866E-14	-8.57349E-14	-6.81068E-15	-3.60723E-14	-1.43976E-16	-1.21534E-14
37.0556	2.05669E-16	4.47974E-15	4.51437E-15	5.8394E-16	1.10237E-15	6.44814E-17	2.73228E-14	-8.70975E-14	-5.51119E-15	-3.63093E-14	-1.12428E-16	-1.30324E-14
37.2222	5.44747E-17	4.42422E-15	4.64458E-15	5.0638E-16	9.31074E-16	1.70007E-17	2.78623E-14	-8.67866E-14	-4.61961E-15	-3.59811E-14	-9.19289E-17	-1.34988E-14
37.3889	3.50753E-17	4.42049E-15	4.78715E-15	4.96527E-16	8.19048E-16	1.09362E-17	2.82836E-14	-8.60111E-14	-4.02467E-15	-3.53627E-14	-7.86029E-17	-1.3793E-14
37.5556	3.34167E-17	4.41489E-15	4.93796E-15	4.95236E-16	7.43361E-16	1.04084E-17	2.86207E-14	-8.49341E-14	-3.61774E-15	-3.45347E-14	-6.92016E-17	-1.39853E-14
37.7222	3.39957E-17	4.40065E-15	5.09501E-15	4.94588E-16	6.91583E-16	1.05893E-17	2.88914E-14	-8.36456E-14	-3.33408E-15	-3.35531E-14	-6.26726E-17	-1.41076E-14
37.8889	3.48066E-17	4.37708E-15	5.25732E-15	4.93404E-16	6.56072E-16	1.08396E-17	2.91034E-14	-8.2203E-14	-3.13367E-15	-3.24563E-14	-5.80394E-17	-1.4178E-14
38.0556	3.55667E-17	4.34385E-15	5.42441E-15	4.91437E-16	6.31797E-16	1.10748E-17	2.92574E-14	-8.06459E-14	-2.99015E-15	-3.12729E-14	-5.47343E-17	-1.42064E-14
38.2222	3.62362E-17	4.30051E-15	5.59605E-15	4.88546E-16	6.15287E-16	1.12821E-17	2.93509E-14	-7.90042E-14	-2.88551E-15	-3.00251E-14	-5.23876E-17	-1.41976E-14
38.3889	3.68011E-17	4.24664E-15	5.77218E-15	4.84621E-16	6.04064E-16	1.14572E-17	2.93805E-14	-7.72994E-14	-2.80714E-15	-2.87307E-14	-5.07484E-17	-1.41539E-14
38.5556	3.72515E-17	4.18192E-15	5.95285E-15	4.79574E-16	5.96329E-16	1.15976E-17	2.93432E-14	-7.55479E-14	-2.74604E-15	-2.74038E-14	-4.96422E-17	-1.40764E-14
38.7222	3.75802E-17	4.10612E-15	6.13816E-15	4.73343E-16	5.9075E-16	1.17E-17	2.92367E-14	-7.37611E-14	-2.69575E-15	-2.60562E-14	-4.89462E-17	-1.39654E-14
38.8889	3.77793E-17	4.01916E-15	6.3283E-15	4.65888E-16	5.86336E-16	1.17632E-17	2.90594E-14	-7.19467E-14	-2.65155E-15	-2.4697E-14	-4.85746E-17	-1.38215E-14
39.0556	3.78448E-17	3.92113E-15	6.52352E-15	4.57193E-16	5.82349E-16	1.17855E-17	2.88109E-14	-7.01093E-14	-2.61004E-15	-2.33337E-14	-4.84675E-17	-1.36454E-14
39.2222	3.77739E-17	3.81222E-15	6.72414E-15	4.47262E-16	5.78237E-16	1.17664E-17	2.84912E-14	-6.8251E-14	-2.56873E-15	-2.19728E-14	-4.85829E-17	-1.3438E-14
39.3889	3.75657E-17	3.6928E-15	6.93055E-15	4.36121E-16	5.73595E-16	1.17047E-17	2.81014E-14	-6.63715E-14	-2.52588E-15	-2.06193E-14	-4.88945E-17	-1.32005E-14
39.5556	3.72222E-17	3.56335E-15	7.14327E-15	4.23813E-16	5.68131E-16	1.16019E-17	2.76432E-14	-6.44692E-14	-2.48024E-15	-1.92778E-14	-4.93859E-17	-1.29346E-14
39.7222	3.67467E-17	3.42448E-15	7.36295E-15	4.104E-16	5.6164E-16	1.14592E-17	2.71189E-14	-6.25404E-14	-2.431E-15	-1.79521E-14	-5.00504E-17	-1.26421E-14
39.8889	3.61452E-17	3.27693E-15	7.59042E-15	3.95959E-16	5.53993E-16	1.12776E-17	2.65316E-14	-6.05802E-14	-2.37764E-15	-1.66457E-14	-5.08886E-17	-1.23251E-14
40.0556	3.54244E-17	3.12152E-15	7.82677E-15	3.80585E-16	5.45112E-16	1.10597E-17	2.58847E-14	-5.85821E-14	-2.31989E-15	-1.53621E-14	-5.19077E-17	-1.19862E-14
40.2222	3.45924E-17	2.95922E-15	8.07339E-15	3.64386E-16	5.34973E-16	1.08082E-17	2.51824E-14	-5.65383E-14	-2.25768E-15	-1.41041E-14	-5.31233E-17	-1.16281E-14
40.3889	3.366E-17	2.79104E-15	8.33212E-15	3.47484E-16	5.23586E-16	1.05257E-17	2.44294E-14	-5.44392E-14	-2.19108E-15	-1.28749E-14	-5.45581E-17	-1.12536E-14
40.5556	3.26379E-17	2.6181E-15	8.60539E-15	3.30017E-16	5.11E-16	1.0217E-17	2.36309E-14	-5.22734E-14	-2.12028E-15	-1.16776E-14	-5.62431E-17	-1.0866E-14
40.7222	3.15386E-17	2.44159E-15	8.89642E-15	3.12135E-16	4.97292E-16	9.88521E-18	2.27928E-14	-5.00276E-14	-2.04558E-15	-1.0515E-14	-5.82231E-17	-1.04687E-14
40.8889	3.03758E-17	2.26276E-15	9.20952E-15	2.94001E-16	4.82567E-16	9.53445E-18	2.19214E-14	-4.76858E-14	-1.96733E-15	-9.39039E-15	-6.0556E-17	-1.00657E-14
41.0556	2.91651E-17	2.08292E-15	9.55049E-15	2.75795E-16	4.6696E-16	9.17028E-18	2.10237E-14	-4.52292E-14	-1.88599E-15	-8.30686E-15	-6.33233E-17	-9.66101E-15
41.2222	2.79221E-17	1.90342E-15	9.92717E-15	2.57715E-16	4.50633E-16	8.79774E-18	2.01074E-14	-4.26353E-14	-1.80203E-15	-7.26774E-15	-6.66347E-17	-9.25947E-15
41.3889	2.66649E-17	1.72565E-15	1.03502E-14	2.39981E-16	4.33781E-16	8.42315E-18	1.91813E-14	-3.98775E-14	-1.71601E-15	-6.27646E-15	-7.06453E-17	-8.86654E-15
41.5556	2.54138E-17	1.55106E-15	1.08343E-14	2.22847E-16	4.16641E-16	8.05253E-18	1.82554E-14	-3.69241E-14	-1.62851E-15	-5.33667E-15	-7.5578E-17	-8.48883E-15
41.7222	2.41917E-17	1.38119E-15	1.13994E-14	2.0662E-16	3.99502E-16	7.69525E-18	1.73418E-14	-3.37373E-14	-1.54014E-15	-4.45237E-15	-8.17629E-17	-8.13463E-15
41.8889	2.30275E-17	1.21771E-15	1.20722E-14	1.91686E-16	3.82738E-16	7.36029E-18	1.64554E-14	-3.02737E-14	-1.45157E-15	-3.62807E-15	-8.97057E-17	-7.81509E-15
42.0556	2.19584E-17	1.06251E-15	1.28869E-14	1.78583E-16	3.66848E-16	7.06231E-18	1.56153E-14	-2.64847E-14	-1.36349E-15	-2.86924E-15	-1.00215E-16	-7.54623E-15
42.2222	2.10377E-17	9.18012E-16	1.38781E-14	1.68109E-16	3.5255E-16	6.82142E-18	1.48462E-14	-2.23219E-14	-1.27663E-15	-2.18297E-15	-1.14641E-16	-7.35282E-15
42.3889	2.03488E-17	7.87453E-16	1.50442E-14	1.61558E-16	3.40945E-16	6.67031E-18	1.41757E-14	-1.77534E-14	-1.19172E-15	-1.57901E-15	-1.3536E-16	-7.2759E-15
42.5556	2.00301E-17	6.75565E-16	1.61898E-14	1.61154E-16	3.33824E-16	6.6655E-18	1.36114E-14	-1.28062E-14	-1.10915E-15	-1.07118E-15	-1.66732E-16	-7.38711E-15
42.7222	2.03083E-17	5.89124E-16	1.63471E-14	1.70751E-16	3.34065E-16	6.89938E-18	1.30388E-14	-7.68164E-15	-1.02758E-15	-6.78478E-16	-2.16772E-16	-7.80988E-15
42.8889	2.14703E-17	5.35897E-16	1.28686E-14	1.95848E-16	3.45373E-16	7.4987E-18	1.20381E-14	-3.03187E-15	-9.40161E-16	-4.22223E-16	-2.97529E-16	-8.71259E-15
