TIME	Aqua: aCC(=O)C(=O)ON(=O)=O + [aH2O] -> aCC(=O)C(=O)O + H	other sources	Gas: CC(=O)C(=O)O -> CC(=O)O[O] + HO2	Aqua: aCC(=O)C(=O)[O-] + aH2O2 -> aCO2 + aCC(=O)[O-] + [	Aqua: aCC(=O)C(=O)O + aH2O2 -> aCO2 + aCC(=O)O + [aH2O]	Aqua: aCC(=O)C(=O)[O-] + aHO -> aO=C([O-])C(=O)[C] + [aH	other sinks
44.0556	1.06838E-14	1.05904E-14	0	-2.70078E-14	-7.0146E-15	-5.9858E-16	-4.34791E-15
44.2222	1.05952E-14	9.7933E-15	0	-2.66964E-14	-6.91723E-15	-5.92964E-16	-4.30144E-15
44.3889	1.05304E-14	9.09533E-15	0	-2.6385E-14	-6.81948E-15	-5.88405E-16	-4.24853E-15
44.5556	1.04832E-14	8.50031E-15	0	-2.60815E-14	-6.72182E-15	-5.83269E-16	-4.19703E-15
44.7222	1.04469E-14	7.99821E-15	0	-2.57831E-14	-6.62466E-15	-5.78073E-16	-4.14482E-15
44.8889	1.04174E-14	7.57687E-15	0	-2.54899E-14	-6.52828E-15	-5.72818E-16	-4.09216E-15
45.0556	1.03922E-14	7.22414E-15	0	-2.5202E-14	-6.43303E-15	-5.67514E-16	-4.03949E-15
45.2222	1.03695E-14	6.9287E-15	0	-2.49195E-14	-6.33902E-15	-5.62174E-16	-3.98687E-15
45.3889	1.03483E-14	6.68086E-15	0	-2.46424E-14	-6.24641E-15	-5.56816E-16	-3.93456E-15
45.5556	1.03279E-14	6.47243E-15	0	-2.43707E-14	-6.15531E-15	-5.51454E-16	-3.88268E-15
45.7222	1.03079E-14	6.29659E-15	0	-2.41045E-14	-6.0658E-15	-5.46103E-16	-3.83137E-15
45.8889	1.02881E-14	6.14771E-15	0	-2.38437E-14	-5.97793E-15	-5.40774E-16	-3.78072E-15
46.0556	1.02684E-14	6.02113E-15	0	-2.35883E-14	-5.89172E-15	-5.35479E-16	-3.73081E-15
46.2222	1.02487E-14	5.91305E-15	0	-2.33381E-14	-5.8072E-15	-5.30227E-16	-3.68168E-15
46.3889	1.02291E-14	5.82035E-15	0	-2.30932E-14	-5.72437E-15	-5.25024E-16	-3.63338E-15
46.5556	1.02096E-14	5.74045E-15	0	-2.28535E-14	-5.64322E-15	-5.19877E-16	-3.58595E-15
46.7222	1.01903E-14	5.67124E-15	0	-2.26188E-14	-5.56375E-15	-5.14791E-16	-3.53938E-15
46.7778	1.01827E-14	5.64615E-15	0	-2.25263E-14	-5.53243E-15	-5.12775E-16	-3.52101E-15
46.9444	2.00526E-14	7.21517E-15	0	-4.0034E-14	-8.52134E-15	-8.78146E-16	-4.09874E-15
47.0278	3.36477E-14	3.32348E-14	0	-4.51141E-14	-1.09174E-17	-3.4624E-15	-7.80228E-15
47.1944	2.09863E-14	1.29791E-14	0	-9.29152E-15	-9.91839E-18	-1.39609E-15	-6.65648E-15
47.3611	1.3688E-14	9.59679E-15	0	-2.62349E-15	-3.92306E-18	-1.21517E-15	-5.27327E-15
47.5278	1.07826E-14	8.40362E-15	0	-1.19798E-15	-1.94586E-18	-1.20287E-15	-4.80286E-15
47.6944	9.74065E-15	8.00685E-15	0	-9.13297E-16	-1.54098E-18	-1.21219E-15	-4.66704E-15
47.8611	9.3934E-15	7.86619E-15	0	-8.57681E-16	-1.49698E-18	-1.2216E-15	-4.63093E-15
48.0278	9.2902E-15	7.80722E-15	0	-8.46414E-16	-1.51706E-18	-1.22934E-15	-4.62366E-15
48.1944	9.26884E-15	7.77496E-15	0	-8.43711E-16	-1.55204E-18	-1.23603E-15	-4.62476E-15
48.3611	9.27309E-15	7.7521E-15	0	-8.42753E-16	-1.58727E-18	-1.24215E-15	-4.62836E-15
48.5278	9.28411E-15	7.73307E-15	0	-8.42237E-16	-1.6197E-18	-1.24794E-15	-4.63272E-15
48.6944	9.29587E-15	7.71605E-15	0	-8.41907E-16	-1.6508E-18	-1.25353E-15	-4.63735E-15
48.8611	9.30661E-15	7.70038E-15	0	-8.417E-16	-1.67859E-18	-1.25898E-15	-4.64205E-15
48.9444	9.31145E-15	7.69297E-15	0	-8.41634E-16	-1.69156E-18	-1.26166E-15	-4.64441E-15
49.1111	3.60917E-15	3.8265E-15	0	-8.47204E-16	0	-7.01311E-17	-2.57886E-15
