Time	Sulfate(C2w)	Time	Sulfate(C2wo)	Time	Nitrate(C2w)	Time	Nitrate(C2wo)	Time	Ammonium(C2w)	Time	Ammonium(C2wo)
42.72528	51.38961	43.3375	14.17929	42.72528	33.28956	43.3375	35.25148	42.72528	24.51222	43.3375	13.89451
42.89194	51.39362	43.50417	14.1933	42.89194	33.45885	43.50417	35.52075	42.89194	24.55038	43.50417	13.96858
43.05861	51.39816	43.67083	14.20718	43.05861	33.68952	43.67083	35.80165	43.05861	24.59682	43.67083	14.04826
43.22528	51.40283	43.8375	14.22105	43.22528	33.97031	43.8375	36.08707	43.22528	24.65352	43.8375	14.13105
43.39194	51.40743	44.00417	14.23474	43.39194	34.26324	44.00417	36.37222	43.39194	24.71868	44.00417	14.2148
43.55861	51.41193	44.17083	14.24851	43.55861	34.55522	44.17083	36.65358	43.55861	24.78888	44.17083	14.29841
43.72528	51.41614	44.3375	14.2622	43.72528	34.84272	44.3375	36.92905	43.72528	24.8616	44.3375	14.38092
43.89194	51.42029	44.50417	14.27592	43.89194	35.12388	44.50417	37.19725	43.89194	24.93522	44.50417	14.46172
44.05861	51.42432	44.67083	14.28952	44.05861	35.39734	44.67083	37.45739	44.05861	25.00866	44.67083	14.54058
44.22528	51.42838	44.8375	14.30309	44.22528	35.66268	44.8375	37.70891	44.22528	25.0812	44.8375	14.61706
44.39194	51.43256	45.00417	14.31664	44.39194	35.91926	45.00417	37.95187	44.39194	25.15266	45.00417	14.69126
44.55861	51.43669	45.17083	14.33025	44.55861	36.16722	45.17083	38.18609	44.55861	25.2225	45.17083	14.76303
44.72528	51.44068	45.3375	14.34386	44.72528	36.40681	45.3375	38.41212	44.72528	25.29054	45.3375	14.83251
44.89194	51.44474	45.50417	14.35733	44.89194	36.63808	45.50417	38.62977	44.89194	25.35696	45.50417	14.89963
45.05861	51.44886	45.67083	14.37082	45.05861	36.86191	45.67083	38.84005	45.05861	25.42176	45.67083	14.96457
45.22528	51.45305	45.8375	14.3844	45.22528	37.07829	45.8375	39.04289	45.22528	25.48494	45.8375	15.02737
45.39194	51.45732	46.00417	14.39783	45.39194	37.28741	46.00417	39.23866	45.39194	25.54632	46.00417	15.08821
45.55861	51.46137	46.17083	14.41124	45.55861	37.49027	46.17083	39.42798	45.55861	25.60626	46.17083	15.14715
45.72528	51.4657	46.3375	14.42471	45.72528	37.68681	46.3375	39.61116	45.72528	25.66494	46.3375	15.20431
45.89194	51.47	46.50417	14.43808	45.89194	37.87744	46.50417	39.78845	45.89194	25.72218	46.50417	15.25977
46.05861	51.47439	46.67083	14.45147	46.05861	38.06269	46.67083	39.96059	46.05861	25.77798	46.67083	15.31368
46.22528	51.47867	46.8375	14.46478	46.22528	38.24272	46.8375	40.12752	46.22528	25.8327	46.8375	15.36613
46.39194	51.48313	47.00417	14.47808	46.39194	38.41779	47.00417	40.28974	46.39194	25.88616	47.00417	15.41715
46.55861	51.48738	47.17083	14.49129	46.55861	38.58858	47.17083	40.44744	46.55861	25.93872	47.17083	15.4669
46.72528	51.49201	47.3375	14.50455	46.72528	38.75508	47.3375	40.60104	46.72528	25.9902	47.3375	15.51543
46.89194	51.49643	47.50417	14.51778	46.89194	38.9175	47.50417	40.75105	46.89194	26.04078	47.50417	15.56291
46.90861	51.4969	47.67083	14.53094	46.90861	38.9335	47.67083	40.89727	46.90861	26.04564	47.67083	15.60926
47.07528	51.44791	47.8375	14.54407	47.07528	48.22104	47.8375	41.04008	47.07528	29.85102	47.8375	15.65464
47.15861	52.73967	48.00417	14.55724	47.15861	48.92482	48.00417	41.17992	47.15861	32.19431	48.00417	15.69912
47.32528	54.00839	48.17083	14.57027	47.32528	49.16509	48.17083	41.31665	47.32528	32.29348	48.17083	15.74273
47.49194	54.17926	48.3375	14.58334	47.49194	49.40535	48.3375	41.45066	47.49194	32.38149	48.3375	15.78548
47.65861	54.27707	48.50417	14.59626	47.65861	49.64486	48.50417	41.58219	47.65861	32.46897	48.50417	15.82753
47.82528	54.37071	48.67083	14.6093	47.82528	49.88394	48.67083	41.71142	47.82528	32.55627	48.67083	15.86891
47.99194	54.46475	48.8375	14.62221	47.99194	50.12214	48.8375	41.83824	47.99194	32.64357	48.8375	15.90957
48.15861	54.55955	49.00417	14.63503	48.15861	50.36011	49.00417	41.96319	48.15861	32.73105	49.00417	15.94966
48.32528	54.65421	49.17083	14.64791	48.32528	50.59763	49.17083	42.08591	48.32528	32.81853	49.17083	15.98913
48.49194	54.7485	49.3375	14.66076	48.49194	50.83448	49.3375	42.20684	48.49194	32.90583	49.3375	16.0281
48.65861	54.84231	49.50417	14.67352	48.65861	51.07107	49.50417	42.32621	48.65861	32.99331	49.50417	16.06653
48.82528	54.93574	49.67083	14.68626	48.82528	51.30699	49.67083	42.44397	48.82528	33.08061	49.67083	16.10451
48.84194	54.94518	49.8375	14.69898	48.84194	51.33067	49.8375	42.56012	48.84194	33.08925	49.8375	16.14204
49.00861	55.0887	50.00417	14.71158	49.00861	49.55649	50.00417	42.67497	49.00861	31.94946	50.00417	16.1791
49.09194	55.08465	50.17083	14.72423	49.09194	47.54265	50.17083	42.7882	49.09194	31.47048	50.17083	16.21584
49.25861	55.11108	50.3375	14.73678	49.25861	46.36796	50.3375	42.90057	49.25861	30.6459	50.3375	16.25218
49.42528	55.13301	50.50417	14.74939	49.42528	45.38486	50.50417	43.01157	49.42528	29.96334	50.50417	16.28813
49.59194	55.14998	50.67083	14.7619	49.59194	44.5873	50.67083	43.12145	49.59194	29.42658	50.67083	16.32382
49.75861	55.16257	50.8375	14.77437	49.75861	43.98207	50.8375	43.23016	49.75861	29.02464	50.8375	16.35919
49.92528	55.17181	51.00417	14.78681	49.92528	43.55238	51.00417	43.33825	49.92528	28.73664	51.00417	16.39422
50.09194	55.1786	51.17083	14.79924	50.09194	43.26934	51.17083	43.44516	50.09194	28.53954	51.17083	16.42905
50.25861	55.18343	51.3375	14.81161	50.25861	43.10073	51.3375	43.5512	50.25861	28.41156	51.3375	16.46356
50.42528	55.18666	51.50417	14.82389	50.42528	43.01777	51.50417	43.65656	50.42528	28.33434	51.50417	16.49781
50.59194	55.18907	51.67083	14.83623	50.59194	42.9965	51.67083	43.76099	50.59194	28.2933	51.67083	16.53187
50.75861	55.19098	51.8375	14.84844	50.75861	43.01894	51.8375	43.86479	50.75861	28.27782	51.8375	16.56573
50.92528	55.19231	52.00417	14.8607	50.92528	43.07185	52.00417	43.96786	50.92528	28.2798	52.00417	16.59931
51.09194	55.1934	52.17083	14.87288	51.09194	43.14519	52.17083	44.0703	51.09194	28.29402	52.17083	16.6327
51.25861	55.19426	52.3375	14.88501	51.25861	43.23253	52.3375	44.17206	51.25861	28.31634	52.3375	16.66597
51.42528	55.19487	52.50417	14.89711	51.42528	43.32885	52.50417	44.27333	51.42528	28.34424	52.50417	16.69905
51.59194	55.19566	52.67083	14.90917	51.59194	43.43129	52.67083	44.37398	51.59194	28.3761	52.67083	16.73192
51.75861	55.19609	52.8375	14.92124	51.75861	43.53752	52.8375	44.47413	51.75861	28.41012	52.8375	16.76466
51.92528	55.19694	53.00417	14.93322	51.92528	43.64603	53.00417	44.57359	51.92528	28.44576	53.00417	16.79721
52.09194	55.19748	53.17083	14.94507	52.09194	43.75565	53.17083	44.66653	52.09194	28.48248	53.17083	16.82916
52.25861	55.19808	53.3375	14.95701	52.25861	43.86621	53.3375	44.74047	52.25861	28.51974	53.3375	16.85738
52.42528	55.19886	53.50417	14.96908	52.42528	43.97651	53.50417	44.79275	52.42528	28.55736	53.50417	16.87984
52.59194	55.19954	53.67083	14.98171	52.59194	44.08706	53.67083	44.82656	52.59194	28.59534	53.67083	16.89712
52.75861	55.2002	53.8375	14.99493	52.75861	44.19687	53.8375	44.84387	52.75861	28.63332	53.8375	16.90998
52.92528	55.20115	54.00417	15.00896	52.92528	44.30648	54.00417	44.84836	52.92528	28.67112	54.00417	16.91914
53.09194	55.20186	54.17083	15.02416	53.09194	44.41232	54.17083	44.84293	53.09194	28.70874	54.17083	16.92542
53.25861	55.2026	54.3375	15.04026	53.25861	44.49728	54.3375	44.83026	53.25861	28.74474	54.3375	16.92942
53.42528	55.2032	54.50417	15.05781	53.42528	44.55519	54.50417	44.81194	53.42528	28.77606	54.50417	16.93165
53.59194	55.20388	54.67083	15.07664	53.59194	44.59349	54.67083	44.78942	53.59194	28.80288	54.67083	16.93276
53.75861	55.20484	54.8375	15.09685	53.75861	44.61659	54.8375	44.7641	53.75861	28.82646	54.8375	16.93329
