TIME	Aqua: aO=C([O-])C(O)[O] + aO2 -> aO=C(O)C(=O)[O-] + aHO2	Aqua: aO=C(O)C(O)[O] + aO2 -> aO=C(O)C(=O)O + aHO2	other sources	Aqua: FEC2O42m -> FEpp + aO=C([O-])C(=O)[O-] + aCO2 + aO	Aqua: FEC2O43mmm -> FEpp + aO=C([O-])C(=O)[O-] + aCO2 +	Aqua: aO=C(O)C(=O)[O-] + aNO3 -> aO=C([O-])C(=O)[O] + NO	Aqua: aNO3 + aO=C([O-])C(=O)[O-] -> NO3m + aO=C([O-])C(=	other sinks
47.6944	1.77006E-14	6.20005E-16	1.56174E-15	0	0	-2.36672E-15	-1.42396E-14	-5.32681E-16
47.8611	1.7987E-14	6.43701E-16	1.54215E-15	0	0	-2.39843E-15	-1.39884E-14	-5.19253E-16
48.0278	1.83532E-14	6.72013E-16	1.54223E-15	0	0	-2.44766E-15	-1.3875E-14	-5.11689E-16
48.1944	1.87264E-14	7.00873E-16	1.54838E-15	0	0	-2.50209E-15	-1.38181E-14	-5.07108E-16
48.3611	1.90898E-14	7.28982E-16	1.55614E-15	0	0	-2.55589E-15	-1.37856E-14	-5.04311E-16
48.5278	1.94406E-14	7.55947E-16	1.56413E-15	0	0	-2.60668E-15	-1.37644E-14	-5.02765E-16
48.6944	1.97793E-14	7.81681E-16	1.57192E-15	0	0	-2.65366E-15	-1.37492E-14	-5.02192E-16
48.8611	2.01071E-14	8.06205E-16	1.57942E-15	0	0	-2.69676E-15	-1.37379E-14	-5.02429E-16
48.9444	2.02671E-14	8.18028E-16	1.58307E-15	0	0	-2.7169E-15	-1.37333E-14	-5.02815E-16
49.1111	2.37466E-15	3.39372E-15	1.51983E-15	0	0	-1.69016E-15	-2.28195E-16	-7.51551E-19
49.1944	2.25835E-15	3.829E-15	1.78308E-15	0	0	-1.41823E-15	-1.86533E-16	-9.51751E-18
49.3611	1.94667E-15	4.76725E-15	2.08715E-15	0	0	-1.61978E-15	-1.53423E-16	-1.17166E-17
49.5278	1.64093E-15	5.22719E-15	2.2335E-15	0	0	-1.76175E-15	-1.31092E-16	-1.35932E-17
49.6944	1.43594E-15	5.55059E-15	2.33685E-15	0	0	-1.85689E-15	-1.15514E-16	-1.51079E-17
49.8611	1.29915E-15	5.80162E-15	2.41913E-15	0	0	-1.921E-15	-1.04449E-16	-1.66501E-17
50.0278	1.19879E-15	5.97217E-15	2.47211E-15	0	0	-1.96398E-15	-9.64875E-17	-1.75233E-17
50.1944	1.12918E-15	6.10188E-15	2.51392E-15	0	0	-1.99248E-15	-9.07282E-17	-1.84272E-17
50.3611	1.07935E-15	6.19366E-15	2.54413E-15	0	0	-2.01103E-15	-8.65535E-17	-1.92038E-17
50.5278	1.04356E-15	6.25598E-15	2.56545E-15	0	0	-2.02267E-15	-8.35308E-17	-1.9881E-17
50.6944	1.01786E-15	6.29568E-15	2.58E-15	0	0	-2.02951E-15	-8.13506E-17	-2.04807E-17
50.8611	9.9949E-16	6.31821E-15	2.58945E-15	0	0	-2.03298E-15	-7.97895E-17	-2.10207E-17
51.0278	9.86489E-16	6.32786E-15	2.59507E-15	0	0	-2.03405E-15	-7.86845E-17	-2.15151E-17
51.1944	9.77433E-16	6.32795E-15	2.59785E-15	0	0	-2.03343E-15	-7.79163E-17	-2.19746E-17
51.3611	9.71289E-16	6.321E-15	2.59853E-15	0	0	-2.03161E-15	-7.73972E-17	-2.24073E-17
51.5278	9.67302E-16	6.30894E-15	2.59768E-15	0	0	-2.02894E-15	-7.70629E-17	-2.28198E-17
51.6944	9.64916E-16	6.29322E-15	2.59572E-15	0	0	-2.02568E-15	-7.68657E-17	-2.32166E-17
51.8611	9.63721E-16	6.27491E-15	2.59296E-15	0	0	-2.022E-15	-7.67706E-17	-2.36014E-17
52.0278	9.63418E-16	6.25481E-15	2.58963E-15	0	0	-2.01806E-15	-7.67517E-17	-2.39768E-17
52.1944	9.6378E-16	6.23349E-15	2.58591E-15	0	0	-2.01393E-15	-7.67898E-17	-2.43446E-17
52.3611	9.64644E-16	6.21139E-15	2.58191E-15	0	0	-2.00971E-15	-7.68708E-17	-2.47065E-17
