TIME	Aqua: aN2O5 -> NO2p + NO3m	Aqua: NO2p + [aH2O] -> NO3m + Hp	Gas: OH + NO2 -> HNO3	Aqua: aHNO4 + HSO3m -> HSO4m + Hp + NO3m	other sources	other sinks
42.8889	1.23959E-12	1.23959E-12	2.45443E-14	6.72988E-17	1.65756E-13	-3.28084E-15
43.0556	1.68913E-12	1.68913E-12	1.75276E-14	4.67158E-17	2.05502E-13	-4.25031E-15
43.2222	1.94973E-12	1.94973E-12	1.53486E-14	0	2.13623E-13	-4.83655E-15
43.3889	1.92517E-12	1.92517E-12	1.46922E-14	3.16301E-17	2.13191E-13	-4.87608E-15
43.5556	1.88518E-12	1.88518E-12	1.44476E-14	3.13234E-17	2.07836E-13	-4.89565E-15
43.7222	1.84628E-12	1.84628E-12	1.43139E-14	3.15791E-17	2.04066E-13	-4.91387E-15
43.8889	1.80835E-12	1.80835E-12	1.42206E-14	3.19825E-17	2.01286E-13	-4.92664E-15
44.0556	1.77129E-12	1.77129E-12	1.41476E-14	3.2456E-17	1.99088E-13	-4.93906E-15
44.2222	1.73519E-12	1.73519E-12	1.40863E-14	3.29593E-17	1.95838E-13	-8.93016E-15
44.3889	1.70014E-12	1.70014E-12	1.40316E-14	3.34808E-17	1.95588E-13	-4.95826E-15
44.5556	1.66626E-12	1.66626E-12	1.39806E-14	3.40091E-17	1.94054E-13	-4.96457E-15
44.7222	1.63361E-12	1.63361E-12	1.39315E-14	3.45202E-17	1.92604E-13	-4.96988E-15
44.8889	1.60224E-12	1.60224E-12	1.38835E-14	3.50296E-17	1.91216E-13	-4.99969E-15
45.0556	1.57216E-12	1.57216E-12	1.38363E-14	3.55316E-17	1.89819E-13	-4.97683E-15
45.2222	1.54337E-12	1.54337E-12	1.37897E-14	3.60193E-17	1.88493E-13	-4.97873E-15
45.3889	1.51586E-12	1.51586E-12	1.37438E-14	3.65038E-17	1.87175E-13	-4.97973E-15
45.5556	1.48958E-12	1.48958E-12	1.36989E-14	3.69824E-17	1.85876E-13	-4.97991E-15
45.7222	1.46453E-12	1.46453E-12	1.3655E-14	3.74514E-17	1.84599E-13	-4.97935E-15
45.8889	1.44064E-12	1.44064E-12	1.36124E-14	3.7918E-17	1.83342E-13	-4.97814E-15
46.0556	1.41789E-12	1.41789E-12	1.35713E-14	3.83848E-17	1.82109E-13	-4.97632E-15
46.2222	1.39622E-12	1.39622E-12	1.35318E-14	3.88495E-17	1.80897E-13	-4.97396E-15
46.3889	1.37559E-12	1.37559E-12	1.3494E-14	3.93192E-17	1.79709E-13	-4.9711E-15
46.5556	1.35597E-12	1.35597E-12	1.3458E-14	3.97853E-17	1.78545E-13	-4.96779E-15
46.7222	1.33729E-12	1.33729E-12	1.34238E-14	4.0258E-17	1.77405E-13	-4.96407E-15
46.7778	1.33008E-12	1.33008E-12	1.34106E-14	4.04485E-17	1.76955E-13	-4.96319E-15
