TIME	Aqua: aO=C(O)CC(O)(O)O[O] -> aO=C(O)CC(=O)O + aHO2	Aqua: aO=C(O)CC(O)[O] + aO2 -> aO=C(O)CC(=O)O + aHO2	Aqua: aO=C(O)CC(=O)O[O] -> aO=C(O)CC(=O)O + aHO2 + [aH2O	Aqua: aO=C([O-])CC(O)(O)O[O] -> aO=C(O)CC(=O)[O-] + aHO2	Aqua: aO=C([O-])CC(O)[O] + aO2 -> aO=C(O)CC(=O)[O-] + aH	other sources	Aqua: aO=C(O)CC(=O)[O-] + aHO -> aO=C(O)[C]C(=O)[O-] + a	Aqua: aO=C(O)CC(=O)[O-] + aNO3 -> aO=C(O)[C]C(=O)[O-] +	other sinks
42.5556	2.92122E-16	1.58997E-16	9.55413E-17	3.54389E-18	1.08865E-18	8.64345E-17	-8.58009E-17	-8.19356E-17	-1.47989E-16
42.7222	2.81183E-16	1.52852E-16	1.23171E-16	3.51146E-18	1.07491E-18	8.83105E-17	-7.92733E-17	-1.06234E-16	-1.37896E-16
42.8889	2.75533E-16	1.49493E-16	1.67731E-16	3.57694E-18	1.08937E-18	9.43048E-17	-7.2303E-17	-1.4536E-16	-1.28344E-16
43.0556	2.75683E-16	1.49202E-16	2.28358E-16	3.74174E-18	1.13262E-18	1.04449E-16	-6.51236E-17	-1.98574E-16	-1.19715E-16
43.2222	2.76074E-16	1.49215E-16	2.61109E-16	4.01347E-18	1.33782E-18	1.10551E-16	-6.11732E-17	-2.27414E-16	-1.15509E-16
43.3889	2.72622E-16	1.47327E-16	2.61605E-16	3.78524E-18	1.1419E-18	1.09368E-16	-5.98288E-17	-2.28107E-16	-1.13178E-16
43.5556	2.71493E-16	1.46714E-16	2.60919E-16	3.77058E-18	1.13744E-18	1.08931E-16	-5.9489E-17	-2.27829E-16	-1.12626E-16
43.7222	2.70916E-16	1.46405E-16	2.60261E-16	3.76531E-18	1.13586E-18	1.08569E-16	-5.93932E-17	-2.27624E-16	-1.12385E-16
43.8889	2.70419E-16	1.46135E-16	2.5958E-16	3.76318E-18	1.13524E-18	1.08177E-16	-5.93795E-17	-2.27439E-16	-1.12197E-16
44.0556	2.69907E-16	1.4586E-16	2.58848E-16	3.76251E-18	1.13507E-18	1.0774E-16	-5.94021E-17	-2.27238E-16	-1.12014E-16
44.2222	2.70784E-16	1.45299E-16	2.57575E-16	3.76188E-18	1.1357E-18	1.06517E-16	-5.94404E-17	-2.24553E-16	-1.11821E-16
44.3889	2.68753E-16	1.45237E-16	2.57243E-16	3.76311E-18	1.13529E-18	1.0674E-16	-5.95007E-17	-2.26767E-16	-1.11605E-16
44.5556	2.68094E-16	1.44884E-16	2.56384E-16	3.7637E-18	1.13549E-18	1.0619E-16	-5.95569E-17	-2.26505E-16	-1.11366E-16
44.7222	2.67383E-16	1.44501E-16	2.55502E-16	3.76429E-18	1.13568E-18	1.05611E-16	-5.96117E-17	-2.26229E-16	-1.11102E-16
44.8889	2.6662E-16	1.44082E-16	2.5461E-16	3.76476E-18	1.13582E-18	1.04992E-16	-5.96546E-17	-2.25949E-16	-1.10813E-16
45.0556	2.65815E-16	1.43655E-16	2.53696E-16	3.76502E-18	1.13574E-18	1.0439E-16	-5.97061E-17	-2.25654E-16	-1.105E-16
45.2222	2.64969E-16	1.43198E-16	2.52782E-16	3.76527E-18	1.13599E-18	1.03757E-16	-5.97437E-17	-2.25362E-16	-1.10166E-16
45.3889	2.6409E-16	1.42723E-16	2.51867E-16	3.76532E-18	1.13601E-18	1.03113E-16	-5.97748E-17	-2.25069E-16	-1.09813E-16
45.5556	2.63183E-16	1.42233E-16	2.50954E-16	3.76525E-18	1.13598E-18	1.0246E-16	-5.97996E-17	-2.24779E-16	-1.09443E-16
