TIME	Aqua: HSO3m + aH2O2 + Hp -> SO4mm + Hp + [aH2O]	Aqua: SO3mm + aO3 -> SO4mm + aO2	Aqua: HSO5m + HSO3m + Hp -> SO4mm + Hp	Aqua: aHNO4 + HSO3m -> HSO4m + Hp + NO3m	Gas: HSO3 -> HO2 + SULF	other sources	other sinks
45.3889	6.30341E-14	1.57885E-20	6.05226E-21	3.65041E-17	2.20892E-15	1.69392E-14	-1.65789E-14
45.5556	6.33914E-14	1.51464E-20	5.67988E-21	3.69794E-17	2.24501E-15	1.6846E-14	-1.64835E-14
45.7222	6.37433E-14	1.61441E-20	6.18457E-21	3.74532E-17	2.28041E-15	1.67527E-14	-1.63881E-14
45.8889	6.40898E-14	1.25346E-20	0	3.79175E-17	2.31513E-15	1.66596E-14	-1.62929E-14
46.0556	6.4431E-14	1.66481E-20	6.22283E-21	3.83785E-17	2.34919E-15	1.6567E-14	-1.61982E-14
46.2222	6.4767E-14	1.68599E-20	6.32248E-21	3.88499E-17	2.38262E-15	1.6475E-14	-1.61042E-14
46.3889	6.50977E-14	1.73749E-20	5.79163E-21	3.93159E-17	2.41544E-15	1.63838E-14	-1.60109E-14
46.5556	6.54235E-14	1.72059E-20	6.25669E-21	3.9786E-17	2.44766E-15	1.62935E-14	-1.59186E-14
46.7222	6.57442E-14	1.76593E-20	6.37698E-21	4.02561E-17	2.47931E-15	1.62041E-14	-1.58273E-14
46.7778	6.58712E-14	0	0	4.06745E-17	2.49181E-15	1.61676E-14	-1.57908E-14
46.9444	4.10377E-13	0	0	0	2.17565E-15	1.89257E-16	-8.57624E-15
47.0278	3.96872E-12	5.38141E-12	4.62233E-13	2.72999E-14	1.08314E-15	2.72287E-12	-6.45092E-15
47.1944	9.82138E-13	2.21039E-12	4.66409E-13	4.97193E-14	8.11207E-16	6.04825E-13	-1.18644E-14
47.3611	2.65757E-12	1.09228E-12	3.76253E-13	5.92105E-14	7.89016E-16	3.2564E-13	-1.28326E-14
47.5278	1.15031E-12	9.2124E-13	3.6318E-13	6.19409E-14	7.8986E-16	2.6163E-13	-1.30346E-14
47.6944	8.60066E-13	8.50668E-13	3.64877E-13	6.35512E-14	7.93413E-16	2.40996E-13	-1.31142E-14
47.8611	8.00563E-13	7.97714E-13	3.65782E-13	6.50164E-14	7.9674E-16	2.30815E-13	-1.31707E-14
48.0278	7.85708E-13	7.51946E-13	3.64013E-13	6.64351E-14	7.99642E-16	2.2369E-13	-1.32161E-14
48.1944	7.79778E-13	7.12177E-13	3.60476E-13	6.77891E-14	8.02276E-16	2.17839E-13	-1.32555E-14
48.3611	7.75838E-13	6.77927E-13	3.56166E-13	6.90623E-14	8.0478E-16	2.12794E-13	-1.32889E-14
48.5278	7.72509E-13	6.48554E-13	3.51723E-13	7.02504E-14	8.07238E-16	2.08367E-13	-1.33156E-14
48.6944	7.69492E-13	6.23344E-13	3.47486E-13	7.13555E-14	8.097E-16	2.04457E-13	-1.33375E-14
48.8611	7.66705E-13	6.0164E-13	3.43608E-13	7.23823E-14	8.12195E-16	2.00985E-13	-1.33549E-14
48.9444	7.65385E-13	5.91921E-13	3.41821E-13	7.28684E-14	8.1346E-16	1.99392E-13	-1.3362E-14
49.1111	0	0	0	0	1.61788E-15	1.53716E-16	-8.73929E-15
49.1944	7.91975E-16	1.46943E-19	2.05766E-20	0	1.76906E-15	1.27857E-14	-1.21009E-14
49.3611	1.09932E-15	8.90538E-20	0	7.48279E-17	1.81311E-15	1.42159E-14	-1.39387E-14
49.5278	1.41917E-15	7.35399E-20	0	6.11399E-17	1.85284E-15	1.49496E-14	-1.46577E-14
49.6944	1.74549E-15	3.56113E-20	0	5.26043E-17	1.89088E-15	1.55075E-14	-1.52088E-14
